"",""
"SiteHeart Chat", "SiteHeart Chat"
"SiteHeart", "SiteHeart"
"SiteHeart Options", "SiteHeart Options"
"Enable SiteHeart", "Enable SiteHeart"
"Widget ID", "Widget ID"
