"Recursion level","Recursion level"
"Rejected","Rejected"
"Relative to Website Base URL","Relative to Website Base URL"
"Reset","Reset"
"Root","Root"
"Save And Continue Edit","Save And Continue Edit"
"Save Post Attribute","Save Post Attribute"
"Save Post Category Attribute","Save Post Category Attribute"
"Save Post Category","Save Post Category"
"Save Post comment","Save Post comment"
"Save Post","Save Post"
"Scope","Scope"
"Select Post Category","Select Post Category"
"Short Description","Short Description"
"Show in rss","Show in rss"
"Show on Homepage","Show on Homepage"
"Status","Status"
"Store View","Store View"
"Store views","Store views"
"Text to appear below the input.","Text to appear below the input."
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The post attribute has been deleted.","The post attribute has been deleted."
"The post attribute has been saved.","The post attribute has been saved."
"The post categories has been deleted.","The post categories has been deleted."
"The post category attribute has been deleted.","The post category attribute has been deleted."
"The post category attribute has been saved.","The post category attribute has been saved."
"The post category has been saved.","The post category has been saved."
"The posts has been deleted.","The posts has been deleted."
"There was a problem saving the comment.","There was a problem saving the comment."
"There was a problem saving the post category.","There was a problem saving the post category."
"There was a problem saving the post.","There was a problem saving the post."
"There was an error deleting comments.","There was an error deleting comments."
"There was an error deleting post categories.","There was an error deleting post categories."
"There was an error deleting post category.","There was an error deleting post category."
"There was an error deleting post.","There was an error deleting post."
"There was an error deleting posts.","There was an error deleting posts."
"There was an error deleting the comment.","There was an error deleting the comment."
"There was an error updating comments.","There was an error updating comments."
"There was an error updating post categories.","There was an error updating post categories."
"There was an error updating posts.","There was an error updating posts."
"This attribute cannot be deleted.","This attribute cannot be deleted."
"This attribute cannot be updated.","This attribute cannot be updated."
"This attribute is not deletable","This attribute is not deletable"
"This attribute no longer exists","This attribute no longer exists"
"This comment no longer exists.","This comment no longer exists."
"This post attribute cannot be edited.","This post attribute cannot be edited."
"This post attribute no longer exists","This post attribute no longer exists"
"This post category attribute cannot be edited.","This post category attribute cannot be edited."
"This post category attribute no longer exists","This post category attribute no longer exists"
"This post category no longer exists.","This post category no longer exists."
"This post does not allow comments","This post does not allow comments"
"This post no longer exists.","This post no longer exists."
"Title","Title"
"Total of %d comments were successfully deleted.","Total of %d comments were successfully deleted."
"Total of %d comments were successfully updated.","Total of %d comments were successfully updated."
"Total of %d post categories were successfully deleted.","Total of %d post categories were successfully deleted."
"Total of %d post categories were successfully updated.","Total of %d post categories were successfully updated."
"Total of %d posts were successfully deleted.","Total of %d posts were successfully deleted."
"Total of %d posts were successfully updated.","Total of %d posts were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find an attribute to delete.","Unable to find an attribute to delete."
"Unable to find comment to save.","Unable to find comment to save."
"Unable to find post category to save.","Unable to find post category to save."
"Unable to find post to save.","Unable to find post to save."
"Unable to post the comment.","Unable to post the comment."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"Use default config","Use default config"
"View Details","View Details"
"View {#name}","View {#name}"
"WYSIWYG Editor","WYSIWYG Editor"
"Website","Website"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"
"You have submitted no comments for posts.","You have submitted no comments for posts."
"Your comment has been accepted for moderation.","Your comment has been accepted for moderation."
"Your name can't be empty","Your name can't be empty"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"select from admin Users","select from admin Users"
"Settings", "Settings"
"Author Roles", "Author Roles"
"-- Please Select --", "-- Please Select --"
"Author", "Author"
"Posts Category - ""NEWS""", "Posts Category - ""NEWS"""
"HomePage Posts block Title", "HomePage Posts block Title"
"Posts Limit", "Posts Limit"
"Number of Days before archive Post", "Number of Days before archive Post"
"Author Roles", "Author Roles"
"News", "News"
"Articles", "Articles"
"There is no Posts now", "There is no Posts now"
"Short Content Text Length", "Short Content Text Length"
"Blog View", "Blog View"
"In this tab, you can configure blog posts view.", "In this tab, you can configure blog posts view."
"Blog Grid", "Blog Grid"
"Post Background Color", "Post Background Color"
"Post Hover Background Color", "Post Hover Background Color"
"Archived Post Background Color", "Archived Post Background Color"
"Archived Post Hover Background Color", "Archived Post Hover Background Color"
"Blog List", "Blog List"
"Homepage Settings", "Homepage Settings"
"Block Title", "Block Title"
"Product Category Settings" "Product Category Settings"
"Show Category Tabs", "Show Category Tabs"
"Archive", "Archive"
"Posts List Item", "Posts List Item"
"Text Color", "Text Color"
"Text Color (on hover)", "Text Color (on hover)"
"Text Font Size", "Text Font Size"
"Background Color", "Background Color"
"Background Color (on hover)", "Background Color (on hover)"
"Header Color", "Header Color"
"Header Color (on post hover)", "Header Color (on post hover)"
"Header Color (on hover)", "Header Color (on hover)"
"Header Font Size", "Header Font Size"
"Bullet Color", "Bullet Color"
"Bullet Color (on hover)", "Bullet Color (on hover)"
"Bullet Font Size", "Bullet Font Size"
"Value in pixels.", "Value in pixels."
"Link Color", "Link Color"
